,part1,part2,part3,name,type
19,https://fbref.com/en/comps/51/,/schedule/,-Eerste-Divisie-Scores-and-Fixtures,Eerste_Divisie,winter
20,https://fbref.com/en/comps/10/,/schedule/,-Championship-Scores-and-Fixtures,Championship,winter
21,https://fbref.com/en/comps/33/,/schedule/,-2-Bundesliga-Scores-and-Fixtures,2_Bundesliga,winter
22,https://fbref.com/en/comps/36/,/schedule/,-Ekstraklasa-Scores-and-Fixtures,Ekstraklasa_Poland,winter
23,https://fbref.com/en/comps/32/,/schedule/,-Primeira-Liga-Scores-and-Fixtures,Primeira_Liga,winter
24,https://fbref.com/en/comps/17/,/schedule/,-Segunda-Division-Scores-and-Fixtures,La_Liga_2,winter
25,https://fbref.com/en/comps/66/,/schedule/,-Czech-First-League-Scores-and-Fixtures,Czech_First,winter
26,https://fbref.com/en/comps/50/,/schedule/,-Superliga-Scores-and-Fixtures,Denmark_Superliga,winter
27,https://fbref.com/en/comps/26/,/schedule/,-Super-Lig-Scores-and-Fixtures,Süper_Lig_Turkey,winter
28,https://fbref.com/en/comps/20/,/schedule/,-Bundesliga-Scores-and-Fixtures,Bundesliga,winter
29,https://fbref.com/en/comps/23/,/schedule/,-Eredivisie-Scores-and-Fixtures,Eredivisie,winter
30,https://fbref.com/en/comps/65/,/schedule/,-A-League-Men-Scores-and-Fixtures,A-League,winter
31,https://fbref.com/en/comps/378/,/schedule/,-I-League-Scores-and-Fixtures,I-League,winter
32,https://fbref.com/en/comps/31/,/schedule/,-Liga-MX-Scores-and-Fixtures,Liga_MX_Mexico,winter
33,https://fbref.com/en/comps/47/,/schedule/,-Liga-I-Scores-and-Fixtures,Liga_Romania,winter
34,https://fbref.com/en/comps/63/,/schedule/,-1-HNL-Scores-and-Fixtures,Croatian_HNL,winter
35,https://fbref.com/en/comps/46/,/schedule/,-NB-I-Scores-and-Fixtures,NB_Hungary,winter
36,https://fbref.com/en/comps/12/,/schedule/,-La-Liga-Scores-and-Fixtures,La_Liga,winter
37,https://fbref.com/en/comps/11/,/schedule/,-Serie-A-Scores-and-Fixtures,Serie_A,winter
38,https://fbref.com/en/comps/18/,/schedule/,-Serie-B-Scores-and-Fixtures,Serie_B,winter
39,https://fbref.com/en/comps/13/,/schedule/,-Ligue-1-Scores-and-Fixtures,Ligue_1,winter
40,https://fbref.com/en/comps/60/,/schedule/,-Ligue-2-Scores-and-Fixtures,Ligue_2,winter
41,https://fbref.com/en/comps/21/,/schedule/,-Primera-Division-Scores-and-Fixtures,Argentina_Primera_Division,summer
42,https://fbref.com/en/comps/74/,/schedule/,-Primera-Division-Scores-and-Fixtures,Division_de_Futbol_Profesional_Bolivia,summer
43,https://fbref.com/en/comps/24/,/schedule/,-Serie-A-Scores-and-Fixtures,Campeonato_Brasileiro_Serie_A,summer
44,https://fbref.com/en/comps/211/,/schedule/,-Canadian-Premier-League-Scores-and-Fixtures,Canadian_Premier_League,summer
45,https://fbref.com/en/comps/35/,/schedule/,-Primera-Division-Scores-and-Fixtures,Chilean_Primera_Division,summer
46,https://fbref.com/en/comps/62/,/schedule/,-Chinese-Super-League-Scores-and-Fixtures,Chinese_Football_Association_Super_League,summer
47,https://fbref.com/en/comps/41/,/schedule/,-Primera-A-Scores-and-Fixtures,Categoria_Primera_A,summer
48,https://fbref.com/en/comps/58/,/schedule/,-Serie-A-Scores-and-Fixtures,Liga_Profesional_Ecuador,summer
49,https://fbref.com/en/comps/43/,/schedule/,-Veikkausliiga-Scores-and-Fixtures,Veikkausliiga,summer
50,https://fbref.com/en/comps/25/,/schedule/,-J1-League-Scores-and-Fixtures,J1_League,summer
51,https://fbref.com/en/comps/49/,/schedule/,-J2-League-Scores-and-Fixtures,J2_League,summer
52,https://fbref.com/en/comps/55/,/schedule/,-K-League-1-Scores-and-Fixtures,K_League_1,summer
53,https://fbref.com/en/comps/28/,/schedule/,-Eliteserien-Scores-and-Fixtures,Eliteserien,summer
54,https://fbref.com/en/comps/61/,/schedule/,-Primera-Division-Scores-and-Fixtures,Paraguayan_Primera_Division,summer
55,https://fbref.com/en/comps/44/,/schedule/,-Liga-1-Scores-and-Fixtures,Liga_1_de_Futbol_Profesional,summer
56,https://fbref.com/en/comps/29/,/schedule/,-Allsvenskan-Scores-and-Fixtures,Allsvenskan,summer
57,https://fbref.com/en/comps/48/,/schedule/,-Superettan-Scores-and-Fixtures,Superettan,summer
58,https://fbref.com/en/comps/45/,/schedule/,-Primera-Division-Scores-and-Fixtures,Uruguayan_Primera_Division,summer
59,https://fbref.com/en/comps/22/,/schedule/,-Major-League-Soccer-Scores-and-Fixtures,Major_League_Soccer,summer
60,https://fbref.com/en/comps/105/,/schedule/,-Liga-FUTVE-Scores-and-Fixtures,Venezuelan_Primera_Division,summer
61,https://fbref.com/en/comps/38/,/schedule/,-Serie-B-Scores-and-Fixtures,Campeonato_Brasileiro_Serie_B,summer
62,https://fbref.com/en/comps/122/,/schedule/,-league-Scores-and-Fixtures,UEFA_Super_Cup,summer
63,https://fbref.com/en/comps/205/,/schedule/,-Copa-Sudamericana-Scores-and-Fixtures,Copa_Sudamericana,summer
64,https://fbref.com/en/comps/14/,/schedule/,-Copa-Libertadores-Scores-and-Fixtures,Copa_Libertadores,summer
